,material,vbm_cubic,cbm_cubic,vbm_k_pbe,cbm_k_pbe,gap_cubic,vbm_I4,cbm_I4,angle_0,gap_I4,vbm_pnma,cbm_pnma,angle_a,angle_c,gap_pnma,gap_cubic_I4,vb_cubic_I4,cb_cubic_I4,gap_cubic_pnma,vb_cubic_pnma,cb_cubic_pnma
14,BaSiO,3.7812,6.8557,20,1,3.0744999999999996,3.6367,7.064,179.99507630684846,3.4273000000000002,3.6353,7.0637,179.98821801151337,179.98889125080106,3.4284,0.35280000000000067,-0.1445000000000003,0.20830000000000037,0.3539000000000003,-0.14590000000000014,0.20800000000000018
15,BaSnO,3.1583,5.6293,20,1,2.4709999999999996,3.1659,5.6352,179.94413045315113,2.4693,3.1582,5.6428,177.4085254398223,176.35925694823533,2.4846000000000004,0.0016999999999995907,0.007600000000000051,0.00590000000000046,0.013600000000000723,-0.00010000000000021103,0.013500000000000512
16,BaTiO,2.2116,5.351,20,1,3.1394,2.2124,5.3516,179.999621242877,3.1392,2.2131,5.3514,179.9797896432987,179.9730116434373,3.1383,0.00019999999999997797,0.000800000000000356,0.000600000000000378,0.001100000000000101,0.0015000000000000568,0.00039999999999995595
17,BaZrO,2.7417,7.4449,20,1,4.7032,2.7442,7.4464,179.96243127981663,4.7021999999999995,2.7199,7.4533,175.59199526136658,38.92380450054873,4.7334,0.001000000000000334,0.002500000000000391,0.0015000000000000568,0.030199999999999783,-0.02179999999999982,0.008399999999999963
18,BeGeO,3.6531,4.8786,20,1,1.2254999999999998,3.5938,7.763,139.8297178546519,4.1692,2.7965,7.6854,133.38884086415857,40.122194946968214,4.8889,2.9437,-0.05929999999999991,2.8844000000000003,3.6633999999999998,-0.8565999999999998,2.8068
19,BeHfO,0.8268,0.9869,20,1,0.16010000000000002,1.5107,3.6928,137.2736124136089,2.1821,0.9565,7.3418,129.0507189749145,134.00248878611333,6.3853,2.0220000000000002,0.6839,2.7059,6.2252,0.12970000000000004,6.3549
20,BeSiO,5.4405,7.1179,20,1,1.6773999999999996,5.1053,10.4848,142.61577018497144,5.3795,4.2594,12.0186,138.60959192438713,39.611155353811455,7.759199999999999,3.7021000000000006,-0.3352000000000004,3.3669000000000002,6.081799999999999,-1.1810999999999998,4.9007
21,BeSnO,3.0038,3.5192,20,1,0.5154000000000001,3.7745,6.0291,136.83786818550544,2.2545999999999995,3.2318,7.4284,127.04115169956629,39.41452001964142,4.1966,1.7391999999999994,0.7707000000000002,2.5098999999999996,3.6812,0.22799999999999976,3.9092
22,BeTiO,2.2353,3.0703,20,1,0.835,2.7605,5.9367,138.008358011024,3.1762,1.932,5.7924,131.4447394200346,39.041575760917,3.8604,2.3412,0.5251999999999999,2.8664,3.0254,-0.3033000000000001,2.7220999999999997
23,BeZrO,2.2295,2.2957,20,1,0.06620000000000026,3.1349,5.2358,136.56986375444114,2.1009,2.7334,8.4824,128.07051887290524,134.27659713617248,5.7490000000000006,2.0347,0.9054000000000002,2.9401,5.6828,0.5039000000000002,6.1867
24,BiAlO,6.4582,9.2321,10,4,2.773900000000001,6.4852,9.0698,160.60520344993515,2.584600000000001,6.6477,10.2254,159.0116444862113,159.38864698292534,3.5777,0.18930000000000025,0.027000000000000135,-0.1623000000000001,0.803799999999999,0.18950000000000067,0.9932999999999996
25,BiGaO,5.3414,7.8020000000000005,10,4,2.4606000000000003,5.4498,7.7062,152.94970212410132,2.2564,5.6201,9.6482,151.08819873655622,151.3915694328243,4.028099999999999,0.20420000000000016,0.10839999999999961,-0.09580000000000055,1.567499999999999,0.2786999999999997,1.8461999999999987
26,BiInO,5.4587,6.3928,20,4,0.9340999999999999,5.3489,7.0489999999999995,142.40894210378906,1.700099999999999,5.4883,9.232000000000001,139.92426410845042,136.7759355534119,3.7437000000000014,0.7659999999999991,-0.1097999999999999,0.6561999999999992,2.8096000000000014,0.029599999999999405,2.839200000000001
